Industry Sector,Description,Jobs,Labor Income,Output
Transportation,Electric power generation - Biomass,0,0,0
Transportation,Electric power generation - All other,1.98,173561.47,549664.4
Transportation,Electric power transmission and distribution,73.92,9784947.77,91038619.99
Transportation,Natural gas distribution,38.91,5436866.67,35909438.7
Transportation,"Water, sewage and other systems",8.79,805569.63,2921222.85
Construction,Construction of new health care structures,66.43,3828990.76,7403985.41
Construction,Construction of new manufacturing structures,110.47,6334217.85,12386860.52
Construction,Construction of new power and communication structures,172.05,11571726.22,26970093.35
Construction,Construction of new educational and vocational structures,172.79,9798419.67,19907383.63
Construction,Construction of new highways and streets,198.48,12855855.28,30269849.21
Construction,"Construction of new commercial structures, including farm structures",246.16,13819852.21,26125922.77
Construction,Construction of other new nonresidential structures,181.62,11185231.24,27914360.24
Construction,Construction of new single-family residential structures,417.34,23900213.6,45591128.35
Construction,Construction of new multifamily residential structures,125.63,7225717.21,9962365.58
Construction,Construction of other new residential structures,195.62,11256552.11,44156614.87
Construction,Maintenance and repair construction of nonresidential structures,146.1,8429192.62,29147103.5
Construction,Maintenance and repair construction of residential structures,79.2,4222538.59,14438709.74
Construction,"Maintenance and repair construction of highways, streets, bridges, and tunnels",25.5,1473376.89,5131433.01
Manufacturing,Dog and cat food manufacturing,0,0,0
Manufacturing,Other animal food manufacturing,17.15,941930.63,16744679.6
Manufacturing,Flour milling,0,0,0
Manufacturing,Rice milling,0,0,0
Manufacturing,Malt manufacturing,0,0,0
Manufacturing,Wet corn milling,0,0,0
Manufacturing,Soybean and other oilseed processing,0,0,0
Manufacturing,Fats and oils refining and blending,0,0,0
Manufacturing,Breakfast cereal manufacturing,0,0,0
Manufacturing,Beet sugar manufacturing,0,0,0
Manufacturing,Sugar cane mills and refining,0,0,0
Manufacturing,Nonchocolate confectionery manufacturing,0,0,0
Manufacturing,Chocolate and confectionery manufacturing from cacao beans,0,0,0
Manufacturing,Confectionery manufacturing from purchased chocolate,5.67,381099.25,1954498.29
Manufacturing,"Frozen fruits, juices and vegetables manufacturing",7.98,595397.22,4121744.54
Manufacturing,Frozen specialties manufacturing,0,0,0
Manufacturing,Canned fruits and vegetables manufacturing,14.62,929769.19,7704970.55
Manufacturing,Canned specialties,0,0,0
Manufacturing,Dehydrated food products manufacturing,3.75,165952.49,1500234.89
Manufacturing,Cheese manufacturing,2.72,59479.06,2225584.79
Manufacturing,"Dry, condensed, and evaporated dairy product manufacturing",0,0,0
Manufacturing,Fluid milk manufacturing,0,0,0
Manufacturing,Creamery butter manufacturing,0,0,0
Manufacturing,Ice cream and frozen dessert manufacturing,0,0,0
Manufacturing,Frozen cakes and other pastries manufacturing,34.08,1023435.31,2802032.9
Manufacturing,Poultry processing,0,0,0
Manufacturing,"Animal, except poultry, slaughtering",32.43,1085206.84,18704644.47
Manufacturing,Meat processed from carcasses,0.82,29464.13,359679.62
Manufacturing,Rendering and meat byproduct processing,0.51,24257.55,189565.29
Manufacturing,Seafood product preparation and packaging,7.93,454802.78,3367448.81
Manufacturing,"Bread and bakery product, except frozen, manufacturing",36.63,1056106.76,4618523.86
Manufacturing,Cookie and cracker manufacturing,0,0,0
Manufacturing,"Dry pasta, mixes, and dough manufacturing",0,0,0
Manufacturing,Tortilla manufacturing,0,0,0
Manufacturing,Roasted nuts and peanut butter manufacturing,9.56,723734.42,4606386.09
Manufacturing,Other snack food manufacturing,19.31,1601117.23,10132352.48
Manufacturing,Coffee and tea manufacturing,0,0,0
Manufacturing,Flavoring syrup and concentrate manufacturing,0,0,0
Manufacturing,"Mayonnaise, dressing, and sauce manufacturing",1.32,62073.79,676349.07
Manufacturing,Spice and extract manufacturing,1.25,72203.25,707422.45
Manufacturing,All other food manufacturing,1.35,54173.54,483060.17
Manufacturing,Bottled and canned soft drinks & water,42.07,2848968.11,24201149.4
Manufacturing,Manufactured ice,7.17,306971.93,988161.59
Manufacturing,Breweries,15.04,475498.64,4930961.94
Manufacturing,Wineries,22.15,370084.73,5491983.76
Manufacturing,Distilleries,3.24,122792.06,2403510.09
Manufacturing,Tobacco product manufacturing,0,0,0
Manufacturing,"Fiber, yarn, and thread mills",0,0,0
Manufacturing,Broadwoven fabric mills,0,0,0
Manufacturing,Narrow fabric mills and schiffli machine embroidery,0.8,-364.29,94318.72
Manufacturing,Nonwoven fabric mills,0,0,0
Manufacturing,Knit fabric mills,0,0,0
Manufacturing,Textile and fabric finishing mills,0,0,0
Manufacturing,Fabric coating mills,0.12,220.49,34512.68
Manufacturing,Carpet and rug mills,0,0,0
Manufacturing,Curtain and linen mills,0,0,0
Manufacturing,Textile bag and canvas mills,2.63,99690.21,400830.52
Manufacturing,"Rope, cordage, twine, tire cord and tire fabric mills",0,0,0
Manufacturing,Other textile product mills,5.15,231969.82,766558.28
Manufacturing,Hosiery and sock mills,0.36,8279.33,30305.29
Manufacturing,Other apparel knitting mills,0.35,8230.55,29247.92
Manufacturing,Cut and sew apparel contractors,5.44,5439.03,231838.13
Manufacturing,Men's and boys' cut and sew apparel manufacturing,0.35,8172.09,31129.36
Manufacturing,Women's and girls' cut and sew apparel manufacturing,0.35,8142.55,51970.78
Manufacturing,Other cut and sew apparel manufacturing,0.93,7991.92,86202.7
Manufacturing,Apparel accessories and other apparel manufacturing,0.35,8131.39,36480.18
Manufacturing,Leather and hide tanning and finishing,0.25,366.83,58189.74
Manufacturing,Footwear manufacturing,0,0,0
Manufacturing,Other leather and allied product manufacturing,1.21,37990.01,126059.39
Manufacturing,Sawmills,117.29,5041535.77,33311062.62
Manufacturing,Wood preservation,0,0,0
Manufacturing,Veneer and plywood manufacturing,0,0,0
Manufacturing,Engineered wood member and truss manufacturing,13.07,693679.35,3113900.35
